HD Point of equivalence class 6,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 6]","[6, 0]",6
"[6, 0, 0, 0, 0, 0]","[0, 6]",6
"[5, 1, 0, 0, 0, 0]","[0.01301518438177874, 5.9869848156182215]",6
"[5, 0, 1, 0, 0, 0]","[0.02603036876355748, 5.973969631236443]",6
"[5, 0, 0, 1, 0, 0]","[0.03904555314533622, 5.9609544468546645]",6
"[5, 0, 0, 0, 1, 0]","[0.05206073752711496, 5.947939262472886]",6
"[5, 0, 0, 0, 0, 1]","[0.06507592190889369, 5.9349240780911074]",6
"[4, 1, 1, 0, 0, 0]","[0.07809110629067242, 5.921908893709329]",6
"[4, 1, 0, 1, 0, 0]","[0.09110629067245116, 5.90889370932755]",6
"[4, 1, 0, 0, 1, 0]","[0.10412147505422989, 5.895878524945772]",6
"[4, 1, 0, 0, 0, 1]","[0.11713665943600862, 5.882863340563993]",6
"[4, 0, 1, 1, 0, 0]","[0.13015184381778735, 5.869848156182215]",6
"[4, 0, 1, 0, 1, 0]","[0.1431670281995661, 5.856832971800436]",6
"[4, 0, 1, 0, 0, 1]","[0.15618221258134482, 5.843817787418658]",6
"[4, 0, 0, 1, 1, 0]","[0.16919739696312355, 5.830802603036879]",6
"[4, 0, 0, 1, 0, 1]","[0.18221258134490229, 5.817787418655101]",6
"[4, 0, 0, 0, 1, 1]","[0.19522776572668102, 5.804772234273322]",6
"[4, 2, 0, 0, 0, 0]","[0.20824295010845975, 5.791757049891544]",6
"[4, 0, 2, 0, 0, 0]","[0.22125813449023848, 5.778741865509765]",6
"[4, 0, 0, 2, 0, 0]","[0.23427331887201722, 5.765726681127987]",6
"[4, 0, 0, 0, 2, 0]","[0.24728850325379595, 5.752711496746208]",6
"[4, 0, 0, 0, 0, 2]","[0.2603036876355747, 5.73969631236443]",6
"[3, 1, 1, 1, 0, 0]","[0.27331887201735344, 5.726681127982651]",6
"[3, 1, 1, 0, 1, 0]","[0.2863340563991322, 5.713665943600873]",6
"[3, 1, 1, 0, 0, 1]","[0.2993492407809109, 5.700650759219094]",6
"[3, 1, 0, 1, 1, 0]","[0.31236442516268964, 5.687635574837316]",6
"[3, 1, 0, 1, 0, 1]","[0.3253796095444684, 5.674620390455537]",6
"[3, 1, 0, 0, 1, 1]","[0.3383947939262471, 5.661605206073759]",6
"[3, 0, 1, 1, 1, 0]","[0.35140997830802584, 5.64859002169198]",6
"[3, 0, 1, 1, 0, 1]","[0.36442516268980457, 5.635574837310202]",6
"[3, 0, 1, 0, 1, 1]","[0.3774403470715833, 5.622559652928423]",6
"[3, 0, 0, 1, 1, 1]","[0.39045553145336204, 5.609544468546645]",6
"[3, 2, 1, 0, 0, 0]","[0.40347071583514077, 5.596529284164866]",6
"[3, 2, 0, 1, 0, 0]","[0.4164859002169195, 5.583514099783088]",6
"[3, 2, 0, 0, 1, 0]","[0.42950108459869824, 5.570498915401309]",6
"[3, 2, 0, 0, 0, 1]","[0.44251626898047697, 5.557483731019531]",6
"[3, 1, 2, 0, 0, 0]","[0.4555314533622557, 5.544468546637752]",6
"[3, 1, 0, 2, 0, 0]","[0.46854663774403443, 5.531453362255974]",6
"[3, 1, 0, 0, 2, 0]","[0.48156182212581317, 5.518438177874195]",6
"[3, 1, 0, 0, 0, 2]","[0.4945770065075919, 5.505422993492417]",6
"[3, 0, 2, 1, 0, 0]","[0.5075921908893707, 5.492407809110638]",6
"[3, 0, 2, 0, 1, 0]","[0.5206073752711494, 5.47939262472886]",6
"[3, 0, 2, 0, 0, 1]","[0.5336225596529282, 5.466377440347081]",6
"[3, 0, 1, 2, 0, 0]","[0.5466377440347069, 5.4533622559653026]",6
"[3, 0, 1, 0, 2, 0]","[0.5596529284164856, 5.440347071583524]",6
"[3, 0, 1, 0, 0, 2]","[0.5726681127982644, 5.4273318872017455]",6
"[3, 0, 0, 2, 1, 0]","[0.5856832971800431, 5.414316702819967]",6
"[3, 0, 0, 2, 0, 1]","[0.5986984815618218, 5.4013015184381885]",6
"[3, 0, 0, 1, 2, 0]","[0.6117136659436005, 5.38828633405641]",6
"[3, 0, 0, 1, 0, 2]","[0.6247288503253793, 5.3752711496746315]",6
"[3, 0, 0, 0, 2, 1]","[0.637744034707158, 5.362255965292853]",6
"[3, 0, 0, 0, 1, 2]","[0.6507592190889367, 5.3492407809110745]",6
"[3, 3, 0, 0, 0, 0]","[0.6637744034707155, 5.336225596529296]",6
"[3, 0, 3, 0, 0, 0]","[0.6767895878524942, 5.3232104121475174]",6
"[3, 0, 0, 3, 0, 0]","[0.689804772234273, 5.310195227765739]",6
"[3, 0, 0, 0, 3, 0]","[0.7028199566160517, 5.29718004338396]",6
"[3, 0, 0, 0, 0, 3]","[0.7158351409978304, 5.284164859002182]",6
"[2, 1, 1, 1, 1, 0]","[0.7288503253796091, 5.271149674620403]",6
"[2, 1, 1, 1, 0, 1]","[0.7418655097613879, 5.258134490238625]",6
"[2, 1, 1, 0, 1, 1]","[0.7548806941431666, 5.245119305856846]",6
"[2, 1, 0, 1, 1, 1]","[0.7678958785249453, 5.232104121475068]",6
"[2, 0, 1, 1, 1, 1]","[0.7809110629067241, 5.219088937093289]",6
"[2, 2, 1, 1, 0, 0]","[0.7939262472885028, 5.206073752711511]",6
"[2, 2, 1, 0, 1, 0]","[0.8069414316702815, 5.193058568329732]",6
"[2, 2, 1, 0, 0, 1]","[0.8199566160520603, 5.180043383947954]",6
"[2, 2, 0, 1, 1, 0]","[0.832971800433839, 5.167028199566175]",6
"[2, 2, 0, 1, 0, 1]","[0.8459869848156177, 5.154013015184397]",6
"[2, 2, 0, 0, 1, 1]","[0.8590021691973965, 5.140997830802618]",6
"[2, 1, 2, 1, 0, 0]","[0.8720173535791752, 5.12798264642084]",6
"[2, 1, 2, 0, 1, 0]","[0.8850325379609539, 5.114967462039061]",6
"[2, 1, 2, 0, 0, 1]","[0.8980477223427327, 5.101952277657283]",6
"[2, 1, 1, 2, 0, 0]","[0.9110629067245114, 5.088937093275504]",6
"[2, 1, 1, 0, 2, 0]","[0.9240780911062901, 5.075921908893726]",6
"[2, 1, 1, 0, 0, 2]","[0.9370932754880689, 5.062906724511947]",6
"[2, 1, 0, 2, 1, 0]","[0.9501084598698476, 5.049891540130169]",6
"[2, 1, 0, 2, 0, 1]","[0.9631236442516263, 5.03687635574839]",6
"[2, 1, 0, 1, 2, 0]","[0.9761388286334051, 5.023861171366612]",6
"[2, 1, 0, 1, 0, 2]","[0.9891540130151838, 5.010845986984833]",6
"[2, 1, 0, 0, 2, 1]","[1.0021691973969626, 4.997830802603055]",6
"[2, 1, 0, 0, 1, 2]","[1.0151843817787414, 4.984815618221276]",6
"[2, 0, 2, 1, 1, 0]","[1.02819956616052, 4.971800433839498]",6
"[2, 0, 2, 1, 0, 1]","[1.0412147505422988, 4.958785249457719]",6
"[2, 0, 2, 0, 1, 1]","[1.0542299349240776, 4.945770065075941]",6
"[2, 0, 1, 2, 1, 0]","[1.0672451193058563, 4.932754880694162]",6
"[2, 0, 1, 2, 0, 1]","[1.080260303687635, 4.919739696312384]",6
"[2, 0, 1, 1, 2, 0]","[1.0932754880694138, 4.906724511930605]",6
"[2, 0, 1, 1, 0, 2]","[1.1062906724511925, 4.893709327548827]",6
"[2, 0, 1, 0, 2, 1]","[1.1193058568329712, 4.880694143167048]",6
"[2, 0, 1, 0, 1, 2]","[1.13232104121475, 4.86767895878527]",6
"[2, 0, 0, 2, 1, 1]","[1.1453362255965287, 4.854663774403491]",6
"[2, 0, 0, 1, 2, 1]","[1.1583514099783074, 4.8416485900217126]",6
"[2, 0, 0, 1, 1, 2]","[1.1713665943600862, 4.828633405639934]",6
"[2, 2, 2, 0, 0, 0]","[1.184381778741865, 4.8156182212581555]",6
"[2, 2, 0, 2, 0, 0]","[1.1973969631236436, 4.802603036876377]",6
"[2, 2, 0, 0, 2, 0]","[1.2104121475054224, 4.7895878524945985]",6
"[2, 2, 0, 0, 0, 2]","[1.223427331887201, 4.77657266811282]",6
"[2, 0, 2, 2, 0, 0]","[1.2364425162689798, 4.7635574837310415]",6
"[2, 0, 2, 0, 2, 0]","[1.2494577006507586, 4.750542299349263]",6
"[2, 0, 2, 0, 0, 2]","[1.2624728850325373, 4.7375271149674845]",6
"[2, 0, 0, 2, 2, 0]","[1.275488069414316, 4.724511930585706]",6
"[2, 0, 0, 2, 0, 2]","[1.2885032537960948, 4.711496746203927]",6
"[2, 0, 0, 0, 2, 2]","[1.3015184381778735, 4.698481561822149]",6
"[2, 3, 1, 0, 0, 0]","[1.3145336225596522, 4.68546637744037]",6
"[2, 3, 0, 1, 0, 0]","[1.327548806941431, 4.672451193058592]",6
"[2, 3, 0, 0, 1, 0]","[1.3405639913232097, 4.659436008676813]",6
"[2, 3, 0, 0, 0, 1]","[1.3535791757049884, 4.646420824295035]",6
"[2, 1, 3, 0, 0, 0]","[1.3665943600867672, 4.633405639913256]",6
"[2, 1, 0, 3, 0, 0]","[1.379609544468546, 4.620390455531478]",6
"[2, 1, 0, 0, 3, 0]","[1.3926247288503246, 4.607375271149699]",6
"[2, 1, 0, 0, 0, 3]","[1.4056399132321034, 4.594360086767921]",6
"[2, 0, 3, 1, 0, 0]","[1.418655097613882, 4.581344902386142]",6
"[2, 0, 3, 0, 1, 0]","[1.4316702819956608, 4.568329718004364]",6
"[2, 0, 3, 0, 0, 1]","[1.4446854663774396, 4.555314533622585]",6
"[2, 0, 1, 3, 0, 0]","[1.4577006507592183, 4.542299349240807]",6
"[2, 0, 1, 0, 3, 0]","[1.470715835140997, 4.529284164859028]",6
"[2, 0, 1, 0, 0, 3]","[1.4837310195227758, 4.51626898047725]",6
"[2, 0, 0, 3, 1, 0]","[1.4967462039045545, 4.503253796095471]",6
"[2, 0, 0, 3, 0, 1]","[1.5097613882863332, 4.490238611713693]",6
"[2, 0, 0, 1, 3, 0]","[1.522776572668112, 4.477223427331914]",6
"[2, 0, 0, 1, 0, 3]","[1.5357917570498907, 4.464208242950136]",6
"[2, 0, 0, 0, 3, 1]","[1.5488069414316694, 4.451193058568357]",6
"[2, 0, 0, 0, 1, 3]","[1.5618221258134481, 4.438177874186579]",6
"[1, 1, 1, 1, 1, 1]","[1.5748373101952269, 4.4251626898048]",6
"[1, 2, 1, 1, 1, 0]","[1.5878524945770056, 4.412147505423022]",6
"[1, 2, 1, 1, 0, 1]","[1.6008676789587843, 4.399132321041243]",6
"[1, 2, 1, 0, 1, 1]","[1.613882863340563, 4.386117136659465]",6
"[1, 2, 0, 1, 1, 1]","[1.6268980477223418, 4.373101952277686]",6
"[1, 1, 2, 1, 1, 0]","[1.6399132321041205, 4.360086767895908]",6
"[1, 1, 2, 1, 0, 1]","[1.6529284164858993, 4.347071583514129]",6
"[1, 1, 2, 0, 1, 1]","[1.665943600867678, 4.334056399132351]",6
"[1, 1, 1, 2, 1, 0]","[1.6789587852494567, 4.321041214750572]",6
"[1, 1, 1, 2, 0, 1]","[1.6919739696312355, 4.308026030368794]",6
"[1, 1, 1, 1, 2, 0]","[1.7049891540130142, 4.295010845987015]",6
"[1, 1, 1, 1, 0, 2]","[1.718004338394793, 4.281995661605237]",6
"[1, 1, 1, 0, 2, 1]","[1.7310195227765717, 4.268980477223458]",6
"[1, 1, 1, 0, 1, 2]","[1.7440347071583504, 4.25596529284168]",6
"[1, 1, 0, 2, 1, 1]","[1.7570498915401291, 4.242950108459901]",6
"[1, 1, 0, 1, 2, 1]","[1.7700650759219079, 4.2299349240781225]",6
"[1, 1, 0, 1, 1, 2]","[1.7830802603036866, 4.216919739696344]",6
"[1, 0, 2, 1, 1, 1]","[1.7960954446854653, 4.2039045553145655]",6
"[1, 0, 1, 2, 1, 1]","[1.809110629067244, 4.190889370932787]",6
"[1, 0, 1, 1, 2, 1]","[1.8221258134490228, 4.1778741865510085]",6
"[1, 0, 1, 1, 1, 2]","[1.8351409978308015, 4.16485900216923]",6
"[2, 4, 0, 0, 0, 0]","[1.8481561822125803, 4.1518438177874515]",6
"[2, 0, 4, 0, 0, 0]","[1.861171366594359, 4.138828633405673]",6
"[2, 0, 0, 4, 0, 0]","[1.8741865509761377, 4.1258134490238945]",6
"[2, 0, 0, 0, 4, 0]","[1.8872017353579165, 4.112798264642116]",6
"[2, 0, 0, 0, 0, 4]","[1.9002169197396952, 4.099783080260337]",6
"[1, 2, 2, 1, 0, 0]","[1.913232104121474, 4.086767895878559]",6
"[1, 2, 2, 0, 1, 0]","[1.9262472885032527, 4.07375271149678]",6
"[1, 2, 2, 0, 0, 1]","[1.9392624728850314, 4.060737527115002]",6
"[1, 2, 1, 2, 0, 0]","[1.9522776572668101, 4.047722342733223]",6
"[1, 2, 1, 0, 2, 0]","[1.9652928416485889, 4.034707158351445]",6
"[1, 2, 1, 0, 0, 2]","[1.9783080260303676, 4.021691973969666]",6
"[1, 2, 0, 2, 1, 0]","[1.9913232104121463, 4.008676789587888]",6
"[1, 2, 0, 2, 0, 1]","[2.0043383947939253, 3.995661605206109]",6
"[1, 2, 0, 1, 2, 0]","[2.0173535791757042, 3.98264642082433]",6
"[1, 2, 0, 1, 0, 2]","[2.030368763557483, 3.969631236442551]",6
"[1, 2, 0, 0, 2, 1]","[2.043383947939262, 3.956616052060772]",6
"[1, 2, 0, 0, 1, 2]","[2.056399132321041, 3.943600867678993]",6
"[1, 1, 2, 2, 0, 0]","[2.06941431670282, 3.930585683297214]",6
"[1, 1, 2, 0, 2, 0]","[2.082429501084599, 3.917570498915435]",6
"[1, 1, 2, 0, 0, 2]","[2.095444685466378, 3.9045553145336562]",6
"[1, 1, 0, 2, 2, 0]","[2.108459869848157, 3.8915401301518773]",6
"[1, 1, 0, 2, 0, 2]","[2.121475054229936, 3.8785249457700983]",6
"[1, 1, 0, 0, 2, 2]","[2.134490238611715, 3.8655097613883194]",6
"[1, 0, 2, 2, 1, 0]","[2.147505422993494, 3.8524945770065404]",6
"[1, 0, 2, 2, 0, 1]","[2.1605206073752727, 3.8394793926247615]",6
"[1, 0, 2, 1, 2, 0]","[2.1735357917570517, 3.8264642082429825]",6
"[1, 0, 2, 1, 0, 2]","[2.1865509761388306, 3.8134490238612035]",6
"[1, 0, 2, 0, 2, 1]","[2.1995661605206096, 3.8004338394794246]",6
"[1, 0, 2, 0, 1, 2]","[2.2125813449023886, 3.7874186550976456]",6
"[1, 0, 1, 2, 2, 0]","[2.2255965292841675, 3.7744034707158667]",6
"[1, 0, 1, 2, 0, 2]","[2.2386117136659465, 3.7613882863340877]",6
"[1, 0, 1, 0, 2, 2]","[2.2516268980477254, 3.7483731019523088]",6
"[1, 0, 0, 2, 2, 1]","[2.2646420824295044, 3.73535791757053]",6
"[1, 0, 0, 2, 1, 2]","[2.2776572668112833, 3.722342733188751]",6
"[1, 0, 0, 1, 2, 2]","[2.2906724511930623, 3.709327548806972]",6
"[1, 3, 1, 1, 0, 0]","[2.3036876355748412, 3.696312364425193]",6
"[1, 3, 1, 0, 1, 0]","[2.31670281995662, 3.683297180043414]",6
"[1, 3, 1, 0, 0, 1]","[2.329718004338399, 3.670281995661635]",6
"[1, 3, 0, 1, 1, 0]","[2.342733188720178, 3.657266811279856]",6
"[1, 3, 0, 1, 0, 1]","[2.355748373101957, 3.644251626898077]",6
"[1, 3, 0, 0, 1, 1]","[2.368763557483736, 3.631236442516298]",6
"[1, 1, 3, 1, 0, 0]","[2.381778741865515, 3.6182212581345192]",6
"[1, 1, 3, 0, 1, 0]","[2.394793926247294, 3.6052060737527403]",6
"[1, 1, 3, 0, 0, 1]","[2.407809110629073, 3.5921908893709613]",6
"[1, 1, 1, 3, 0, 0]","[2.420824295010852, 3.5791757049891824]",6
"[1, 1, 1, 0, 3, 0]","[2.433839479392631, 3.5661605206074034]",6
"[1, 1, 1, 0, 0, 3]","[2.4468546637744097, 3.5531453362256245]",6
"[1, 1, 0, 3, 1, 0]","[2.4598698481561887, 3.5401301518438455]",6
"[1, 1, 0, 3, 0, 1]","[2.4728850325379677, 3.5271149674620665]",6
"[1, 1, 0, 1, 3, 0]","[2.4859002169197466, 3.5140997830802876]",6
"[1, 1, 0, 1, 0, 3]","[2.4989154013015256, 3.5010845986985086]",6
"[1, 1, 0, 0, 3, 1]","[2.5119305856833045, 3.4880694143167297]",6
"[1, 1, 0, 0, 1, 3]","[2.5249457700650835, 3.4750542299349507]",6
"[1, 0, 3, 1, 1, 0]","[2.5379609544468624, 3.4620390455531718]",6
"[1, 0, 3, 1, 0, 1]","[2.5509761388286414, 3.449023861171393]",6
"[1, 0, 3, 0, 1, 1]","[2.5639913232104203, 3.436008676789614]",6
"[1, 0, 1, 3, 1, 0]","[2.5770065075921993, 3.422993492407835]",6
"[1, 0, 1, 3, 0, 1]","[2.5900216919739782, 3.409978308026056]",6
"[1, 0, 1, 1, 3, 0]","[2.603036876355757, 3.396963123644277]",6
"[1, 0, 1, 1, 0, 3]","[2.616052060737536, 3.383947939262498]",6
"[1, 0, 1, 0, 3, 1]","[2.629067245119315, 3.370932754880719]",6
"[1, 0, 1, 0, 1, 3]","[2.642082429501094, 3.35791757049894]",6
"[1, 0, 0, 3, 1, 1]","[2.655097613882873, 3.344902386117161]",6
"[1, 0, 0, 1, 3, 1]","[2.668112798264652, 3.331887201735382]",6
"[1, 0, 0, 1, 1, 3]","[2.681127982646431, 3.3188720173536033]",6
"[1, 3, 2, 0, 0, 0]","[2.69414316702821, 3.3058568329718243]",6
"[1, 3, 0, 2, 0, 0]","[2.707158351409989, 3.2928416485900454]",6
"[1, 3, 0, 0, 2, 0]","[2.720173535791768, 3.2798264642082664]",6
"[1, 3, 0, 0, 0, 2]","[2.7331887201735467, 3.2668112798264874]",6
"[1, 2, 3, 0, 0, 0]","[2.7462039045553257, 3.2537960954447085]",6
"[1, 2, 0, 3, 0, 0]","[2.7592190889371047, 3.2407809110629295]",6
"[1, 2, 0, 0, 3, 0]","[2.7722342733188836, 3.2277657266811506]",6
"[1, 2, 0, 0, 0, 3]","[2.7852494577006626, 3.2147505422993716]",6
"[1, 0, 3, 2, 0, 0]","[2.7982646420824415, 3.2017353579175927]",6
"[1, 0, 3, 0, 2, 0]","[2.8112798264642205, 3.1887201735358137]",6
"[1, 0, 3, 0, 0, 2]","[2.8242950108459994, 3.1757049891540348]",6
"[1, 0, 2, 3, 0, 0]","[2.8373101952277784, 3.162689804772256]",6
"[1, 0, 2, 0, 3, 0]","[2.8503253796095573, 3.149674620390477]",6
"[1, 0, 2, 0, 0, 3]","[2.8633405639913363, 3.136659436008698]",6
"[1, 0, 0, 3, 2, 0]","[2.8763557483731153, 3.123644251626919]",6
"[1, 0, 0, 3, 0, 2]","[2.889370932754894, 3.11062906724514]",6
"[1, 0, 0, 2, 3, 0]","[2.902386117136673, 3.097613882863361]",6
"[1, 0, 0, 2, 0, 3]","[2.915401301518452, 3.084598698481582]",6
"[1, 0, 0, 0, 3, 2]","[2.928416485900231, 3.071583514099803]",6
"[1, 0, 0, 0, 2, 3]","[2.94143167028201, 3.058568329718024]",6
"[1, 4, 1, 0, 0, 0]","[2.954446854663789, 3.045553145336245]",6
"[1, 4, 0, 1, 0, 0]","[2.967462039045568, 3.0325379609544663]",6
"[1, 4, 0, 0, 1, 0]","[2.980477223427347, 3.0195227765726873]",6
"[1, 4, 0, 0, 0, 1]","[2.993492407809126, 3.0065075921909084]",6
"[1, 1, 4, 0, 0, 0]","[3.006507592190905, 2.9934924078091294]",6
"[1, 1, 0, 4, 0, 0]","[3.0195227765726838, 2.9804772234273504]",6
"[1, 1, 0, 0, 4, 0]","[3.0325379609544627, 2.9674620390455715]",6
"[1, 1, 0, 0, 0, 4]","[3.0455531453362417, 2.9544468546637925]",6
"[1, 0, 4, 1, 0, 0]","[3.0585683297180206, 2.9414316702820136]",6
"[1, 0, 4, 0, 1, 0]","[3.0715835140997996, 2.9284164859002346]",6
"[1, 0, 4, 0, 0, 1]","[3.0845986984815785, 2.9154013015184557]",6
"[1, 0, 1, 4, 0, 0]","[3.0976138828633575, 2.9023861171366767]",6
"[1, 0, 1, 0, 4, 0]","[3.1106290672451364, 2.8893709327548978]",6
"[1, 0, 1, 0, 0, 4]","[3.1236442516269154, 2.876355748373119]",6
"[1, 0, 0, 4, 1, 0]","[3.1366594360086943, 2.86334056399134]",6
"[1, 0, 0, 4, 0, 1]","[3.1496746203904733, 2.850325379609561]",6
"[1, 0, 0, 1, 4, 0]","[3.1626898047722523, 2.837310195227782]",6
"[1, 0, 0, 1, 0, 4]","[3.175704989154031, 2.824295010846003]",6
"[1, 0, 0, 0, 4, 1]","[3.18872017353581, 2.811279826464224]",6
"[1, 0, 0, 0, 1, 4]","[3.201735357917589, 2.798264642082445]",6
"[1, 0, 0, 0, 0, 5]","[3.214750542299368, 2.785249457700666]",6
"[0, 1, 0, 0, 0, 5]","[3.227765726681147, 2.772234273318887]",6
"[0, 0, 1, 0, 0, 5]","[3.240780911062926, 2.759219088937108]",6
"[0, 0, 0, 1, 0, 5]","[3.253796095444705, 2.7462039045553293]",6
"[0, 0, 0, 0, 1, 5]","[3.266811279826484, 2.7331887201735503]",6
"[0, 1, 1, 0, 0, 4]","[3.279826464208263, 2.7201735357917713]",6
"[0, 1, 0, 1, 0, 4]","[3.292841648590042, 2.7071583514099924]",6
"[0, 1, 0, 0, 1, 4]","[3.3058568329718208, 2.6941431670282134]",6
"[0, 0, 1, 1, 0, 4]","[3.3188720173535997, 2.6811279826464345]",6
"[0, 0, 1, 0, 1, 4]","[3.3318872017353787, 2.6681127982646555]",6
"[0, 0, 0, 1, 1, 4]","[3.3449023861171576, 2.6550976138828766]",6
"[0, 2, 0, 0, 0, 4]","[3.3579175704989366, 2.6420824295010976]",6
"[0, 0, 2, 0, 0, 4]","[3.3709327548807155, 2.6290672451193187]",6
"[0, 0, 0, 2, 0, 4]","[3.3839479392624945, 2.6160520607375397]",6
"[0, 0, 0, 0, 2, 4]","[3.3969631236442734, 2.6030368763557608]",6
"[0, 1, 1, 1, 0, 3]","[3.4099783080260524, 2.590021691973982]",6
"[0, 1, 1, 0, 1, 3]","[3.4229934924078314, 2.577006507592203]",6
"[0, 1, 0, 1, 1, 3]","[3.4360086767896103, 2.563991323210424]",6
"[0, 0, 1, 1, 1, 3]","[3.4490238611713893, 2.550976138828645]",6
"[0, 2, 1, 0, 0, 3]","[3.462039045553168, 2.537960954446866]",6
"[0, 2, 0, 1, 0, 3]","[3.475054229934947, 2.524945770065087]",6
"[0, 2, 0, 0, 1, 3]","[3.488069414316726, 2.511930585683308]",6
"[0, 1, 2, 0, 0, 3]","[3.501084598698505, 2.498915401301529]",6
"[0, 1, 0, 2, 0, 3]","[3.514099783080284, 2.48590021691975]",6
