HD Point of equivalence class 6,LD Point,Equivalence Class
"[0, 1, 0, 0, 2, 3]","[3.527114967462063, 2.472885032537971]",6
"[0, 0, 2, 1, 0, 3]","[3.540130151843842, 2.4598698481561923]",6
"[0, 0, 2, 0, 1, 3]","[3.553145336225621, 2.4468546637744133]",6
"[0, 0, 1, 2, 0, 3]","[3.5661605206074, 2.4338394793926343]",6
"[0, 0, 1, 0, 2, 3]","[3.579175704989179, 2.4208242950108554]",6
"[0, 0, 0, 2, 1, 3]","[3.5921908893709578, 2.4078091106290764]",6
"[0, 0, 0, 1, 2, 3]","[3.6052060737527367, 2.3947939262472975]",6
"[0, 3, 0, 0, 0, 3]","[3.6182212581345157, 2.3817787418655185]",6
"[0, 0, 3, 0, 0, 3]","[3.6312364425162946, 2.3687635574837396]",6
"[0, 0, 0, 3, 0, 3]","[3.6442516268980736, 2.3557483731019606]",6
"[0, 0, 0, 0, 3, 3]","[3.6572668112798525, 2.3427331887201817]",6
"[0, 1, 1, 1, 1, 2]","[3.6702819956616315, 2.3297180043384027]",6
"[0, 2, 1, 1, 0, 2]","[3.6832971800434104, 2.3167028199566237]",6
"[0, 2, 1, 0, 1, 2]","[3.6963123644251894, 2.303687635574845]",6
"[0, 2, 0, 1, 1, 2]","[3.7093275488069684, 2.290672451193066]",6
"[0, 1, 2, 1, 0, 2]","[3.7223427331887473, 2.277657266811287]",6
"[0, 1, 2, 0, 1, 2]","[3.7353579175705263, 2.264642082429508]",6
"[0, 1, 1, 2, 0, 2]","[3.748373101952305, 2.251626898047729]",6
"[0, 1, 1, 0, 2, 2]","[3.761388286334084, 2.23861171366595]",6
"[0, 1, 0, 2, 1, 2]","[3.774403470715863, 2.225596529284171]",6
"[0, 1, 0, 1, 2, 2]","[3.787418655097642, 2.212581344902392]",6
"[0, 0, 2, 1, 1, 2]","[3.800433839479421, 2.199566160520613]",6
"[0, 0, 1, 2, 1, 2]","[3.8134490238612, 2.186550976138834]",6
"[0, 0, 1, 1, 2, 2]","[3.826464208242979, 2.1735357917570552]",6
"[0, 2, 2, 0, 0, 2]","[3.839479392624758, 2.1605206073752763]",6
"[0, 2, 0, 2, 0, 2]","[3.852494577006537, 2.1475054229934973]",6
"[0, 2, 0, 0, 2, 2]","[3.865509761388316, 2.1344902386117184]",6
"[0, 0, 2, 2, 0, 2]","[3.8785249457700948, 2.1214750542299394]",6
"[0, 0, 2, 0, 2, 2]","[3.8915401301518737, 2.1084598698481605]",6
"[0, 0, 0, 2, 2, 2]","[3.9045553145336527, 2.0954446854663815]",6
"[0, 3, 1, 0, 0, 2]","[3.9175704989154316, 2.0824295010846026]",6
"[0, 3, 0, 1, 0, 2]","[3.9305856832972106, 2.0694143167028236]",6
"[0, 3, 0, 0, 1, 2]","[3.9436008676789895, 2.0563991323210447]",6
"[0, 1, 3, 0, 0, 2]","[3.9566160520607685, 2.0433839479392657]",6
"[0, 1, 0, 3, 0, 2]","[3.9696312364425475, 2.0303687635574867]",6
"[0, 1, 0, 0, 3, 2]","[3.9826464208243264, 2.017353579175708]",6
"[0, 0, 3, 1, 0, 2]","[3.9956616052061054, 2.004338394793929]",6
"[0, 0, 3, 0, 1, 2]","[4.008676789587884, 1.99132321041215]",6
"[0, 0, 1, 3, 0, 2]","[4.021691973969663, 1.9783080260303714]",6
"[0, 0, 1, 0, 3, 2]","[4.034707158351441, 1.9652928416485926]",6
"[0, 0, 0, 3, 1, 2]","[4.04772234273322, 1.952277657266814]",6
"[0, 0, 0, 1, 3, 2]","[4.060737527114998, 1.9392624728850352]",6
"[0, 2, 1, 1, 1, 1]","[4.073752711496777, 1.9262472885032564]",6
"[0, 1, 2, 1, 1, 1]","[4.086767895878555, 1.9132321041214777]",6
"[0, 1, 1, 2, 1, 1]","[4.099783080260334, 1.900216919739699]",6
"[0, 1, 1, 1, 2, 1]","[4.112798264642112, 1.8872017353579202]",6
"[0, 0, 4, 0, 0, 2]","[4.125813449023891, 1.8741865509761415]",6
"[0, 0, 0, 4, 0, 2]","[4.138828633405669, 1.8611713665943628]",6
"[0, 0, 0, 0, 4, 2]","[4.151843817787448, 1.848156182212584]",6
"[0, 4, 0, 0, 0, 2]","[4.164859002169226, 1.8351409978308053]",6
"[0, 2, 2, 1, 0, 1]","[4.177874186551005, 1.8221258134490266]",6
"[0, 2, 2, 0, 1, 1]","[4.1908893709327835, 1.8091106290672478]",6
"[0, 2, 1, 2, 0, 1]","[4.203904555314562, 1.7960954446854691]",6
"[0, 2, 1, 0, 2, 1]","[4.2169197396963405, 1.7830802603036904]",6
"[0, 2, 0, 2, 1, 1]","[4.229934924078119, 1.7700650759219116]",6
"[0, 2, 0, 1, 2, 1]","[4.2429501084598975, 1.757049891540133]",6
"[0, 1, 2, 2, 0, 1]","[4.255965292841676, 1.7440347071583542]",6
"[0, 1, 2, 0, 2, 1]","[4.2689804772234545, 1.7310195227765754]",6
"[0, 1, 0, 2, 2, 1]","[4.281995661605233, 1.7180043383947967]",6
"[0, 0, 2, 2, 1, 1]","[4.2950108459870115, 1.704989154013018]",6
