HD Point of equivalence class 5,LD Point,Equivalence Class
"[0, 0, 0, 0, 0, 5]","[5, 0]",5
"[5, 0, 0, 0, 0, 0]","[0, 5]",5
"[4, 1, 0, 0, 0, 0]","[0.0199203187250996, 4.9800796812749]",5
"[4, 0, 1, 0, 0, 0]","[0.0398406374501992, 4.960159362549801]",5
"[4, 0, 0, 1, 0, 0]","[0.05976095617529881, 4.940239043824701]",5
"[4, 0, 0, 0, 1, 0]","[0.0796812749003984, 4.920318725099602]",5
"[4, 0, 0, 0, 0, 1]","[0.099601593625498, 4.900398406374502]",5
"[3, 1, 1, 0, 0, 0]","[0.1195219123505976, 4.8804780876494025]",5
"[3, 1, 0, 1, 0, 0]","[0.1394422310756972, 4.860557768924303]",5
"[3, 1, 0, 0, 1, 0]","[0.1593625498007968, 4.840637450199203]",5
"[3, 1, 0, 0, 0, 1]","[0.17928286852589642, 4.820717131474104]",5
"[3, 0, 1, 1, 0, 0]","[0.19920318725099603, 4.800796812749004]",5
"[3, 0, 1, 0, 1, 0]","[0.21912350597609564, 4.780876494023905]",5
"[3, 0, 1, 0, 0, 1]","[0.23904382470119526, 4.760956175298805]",5
"[3, 0, 0, 1, 1, 0]","[0.25896414342629487, 4.741035856573705]",5
"[3, 0, 0, 1, 0, 1]","[0.27888446215139445, 4.721115537848606]",5
"[3, 0, 0, 0, 1, 1]","[0.29880478087649404, 4.701195219123506]",5
"[3, 2, 0, 0, 0, 0]","[0.3187250996015936, 4.681274900398407]",5
"[3, 0, 2, 0, 0, 0]","[0.3386454183266932, 4.661354581673307]",5
"[3, 0, 0, 2, 0, 0]","[0.3585657370517928, 4.6414342629482075]",5
"[3, 0, 0, 0, 2, 0]","[0.37848605577689237, 4.621513944223108]",5
"[3, 0, 0, 0, 0, 2]","[0.39840637450199196, 4.601593625498008]",5
"[2, 1, 1, 1, 0, 0]","[0.41832669322709154, 4.581673306772909]",5
"[2, 1, 1, 0, 1, 0]","[0.4382470119521911, 4.561752988047809]",5
"[2, 1, 1, 0, 0, 1]","[0.4581673306772907, 4.54183266932271]",5
"[2, 1, 0, 1, 1, 0]","[0.4780876494023903, 4.52191235059761]",5
"[2, 1, 0, 1, 0, 1]","[0.4980079681274899, 4.50199203187251]",5
"[2, 1, 0, 0, 1, 1]","[0.5179282868525895, 4.482071713147411]",5
"[2, 0, 1, 1, 1, 0]","[0.5378486055776891, 4.462151394422311]",5
"[2, 0, 1, 1, 0, 1]","[0.5577689243027887, 4.442231075697212]",5
"[2, 0, 1, 0, 1, 1]","[0.5776892430278883, 4.422310756972112]",5
"[2, 0, 0, 1, 1, 1]","[0.5976095617529879, 4.4023904382470125]",5
"[2, 2, 1, 0, 0, 0]","[0.6175298804780874, 4.382470119521913]",5
"[2, 2, 0, 1, 0, 0]","[0.637450199203187, 4.362549800796813]",5
"[2, 2, 0, 0, 1, 0]","[0.6573705179282866, 4.342629482071714]",5
