HD point,LD Point,Equivalence Class
"[0, 1, 0, 1, 0, 2]","[2.4320000000000017, 1.5679999999999978]",4
"[0, 1, 0, 0, 2, 1]","[2.4640000000000017, 1.5359999999999978]",4
"[0, 1, 0, 0, 1, 2]","[2.4960000000000018, 1.5039999999999978]",4
"[0, 0, 2, 1, 1, 0]","[2.528000000000002, 1.4719999999999978]",4
"[0, 0, 2, 1, 0, 1]","[2.560000000000002, 1.4399999999999977]",4
"[0, 0, 2, 0, 1, 1]","[2.592000000000002, 1.4079999999999977]",4
"[0, 0, 1, 2, 1, 0]","[2.624000000000002, 1.3759999999999977]",4
"[0, 0, 1, 2, 0, 1]","[2.656000000000002, 1.3439999999999976]",4
"[0, 0, 1, 1, 2, 0]","[2.688000000000002, 1.3119999999999976]",4
"[0, 0, 1, 1, 0, 2]","[2.720000000000002, 1.2799999999999976]",4
"[0, 0, 1, 0, 2, 1]","[2.752000000000002, 1.2479999999999976]",4
"[0, 0, 1, 0, 1, 2]","[2.784000000000002, 1.2159999999999975]",4
"[0, 0, 0, 2, 1, 1]","[2.816000000000002, 1.1839999999999975]",4
"[0, 0, 0, 1, 2, 1]","[2.848000000000002, 1.1519999999999975]",4
"[0, 0, 0, 1, 1, 2]","[2.880000000000002, 1.1199999999999974]",4
"[0, 1, 0, 0, 0, 3]","[2.912000000000002, 1.0879999999999974]",4
"[0, 0, 1, 0, 0, 3]","[2.944000000000002, 1.0559999999999974]",4
"[0, 0, 0, 1, 0, 3]","[2.976000000000002, 1.0239999999999974]",4
"[0, 0, 0, 0, 1, 3]","[3.0080000000000022, 0.9919999999999973]",4
"[0, 2, 0, 0, 0, 2]","[3.0400000000000023, 0.9599999999999973]",4
"[0, 0, 2, 0, 0, 2]","[3.0720000000000023, 0.9279999999999973]",4
"[0, 0, 0, 2, 0, 2]","[3.1040000000000023, 0.8959999999999972]",4
"[0, 0, 0, 0, 2, 2]","[3.1360000000000023, 0.8639999999999972]",4
"[0, 3, 0, 0, 0, 1]","[3.1680000000000024, 0.8319999999999972]",4
"[0, 0, 3, 0, 0, 1]","[3.2000000000000024, 0.7999999999999972]",4
"[0, 0, 0, 3, 0, 1]","[3.2320000000000024, 0.7679999999999971]",4
"[0, 0, 0, 0, 3, 1]","[3.2640000000000025, 0.7359999999999971]",4
"[0, 2, 2, 0, 0, 0]","[3.2960000000000025, 0.7039999999999971]",4
